,LTV_M,Purpose_M,Coop_M,Product_M,Occup_M,Back_M,BoCreditScor_M,PropType_M,Year,Bank,MortDate,Assigned_ID,Portfolio_Worthy
59,0.13,1.0,1.0,0.879,1.0,2.02,2.85,1.0,2017,Atlanta,2016,2092161,1
60,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.146,2017,Atlanta,2016,2092162,1
61,0.13,1.0,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092163,1
62,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092164,1
63,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092165,0
64,0.13,1.61,1.0,0.879,1.0,2.345,2.85,1.0,2017,Atlanta,2016,2092166,1
65,0.127,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092167,0
66,0.13,1.61,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2016,2092168,0
67,0.127,1.61,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2016,2092169,1
68,0.127,1.61,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2016,2092170,1
69,0.13,1.61,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2016,2092171,1
70,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2016,2092172,1
71,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092173,0
72,0.13,1.61,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092174,0
73,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2016,2092175,1
74,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092176,0
75,0.13,1.61,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2016,2092177,0
76,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092178,0
77,0.13,1.61,1.0,0.879,1.0,1.431,4.81,1.0,2017,Atlanta,2016,2092179,0
78,0.13,1.61,1.0,0.879,2.141,1.0,1.76,1.0,2017,Atlanta,2016,2092180,0
79,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092181,0
