,IncRat,LTV,Purpose,Coop,Product,FedGuar,Occup,Front,Back,BoCreditScor,PropType,UPB,Portfolio_Worthy
37,1.1627,0.95,1,2,1,2,1,0.2734,0.4096,5,1,0.5727605633802817,1
38,2.0575,0.68,2,2,1,2,1,0.2132,0.298,4,7,0.8133621730382293,1
39,2.7062,0.95,1,2,1,2,1,0.2078,0.4171,5,7,0.8046257545271629,1
40,2.2534,0.8,1,2,1,2,1,0.1349,0.3067,5,7,0.5197042253521127,1
41,2.4418,0.65,2,2,1,2,1,0.1041,0.1581,5,1,0.3568450704225352,1
42,2.9468,0.8,2,2,1,2,1,0.0967,0.1922,5,1,0.4541348088531187,1
43,2.8752,0.8,1,2,1,2,1,0.0926,0.3417,3,1,0.4541408450704225,1
44,2.2173,0.96,2,2,1,2,1,0.1129,0.1678,4,1,0.606066398390342,1
45,1.8439,0.93,2,2,1,2,1,0.2124,0.4199,4,7,0.7591066398390341,1
46,1.3578,0.83,2,2,1,2,1,0.1912,0.2774,5,7,0.8038229376257545,1
47,1.9177,0.76,1,2,1,2,1,0.2748,0.3653,5,7,0.812122736418511,1
48,1.2827,0.79,1,2,1,2,1,0.18600000000000003,0.3457,5,1,0.5258792756539236,1
49,1.7122,0.95,1,2,1,2,1,0.2086,0.3632,5,7,0.4836780684104628,1
50,2.7555,0.8,1,2,1,2,1,0.0931,0.0994,4,1,0.3663299798792756,1
51,2.5487,0.8,1,2,1,2,1,0.1571,0.3831,5,7,0.508086519114688,1
52,0.7448,0.8,1,2,1,2,1,0.2586,0.3514,5,7,0.40345070422535206,1
53,0.8133,0.99,1,2,1,2,1,0.2712,0.2794,5,1,0.7300140845070422,1
54,1.6439,0.92,1,2,1,2,1,0.1522,0.2159,5,1,0.4098772635814889,1
55,2.3819999999999997,0.8,1,2,1,2,1,0.0983,0.2445,5,7,0.364579476861167,1
56,1.0919,0.97,1,2,1,2,1,0.2303,0.3116,4,1,0.5311488933601609,1
57,1.6581,0.91,2,2,1,2,1,0.2163,0.3542,5,7,0.6370120724346076,1
58,1.2418,0.8,2,2,1,2,1,0.132,0.1739,5,7,0.5522897384305835,1
59,1.5439,0.61,1,2,1,2,1,0.2413,0.3726,5,1,0.7427062374245472,1
60,2.4631,0.63,2,2,1,2,1,0.1005,0.225,5,7,0.5022837022132797,1
61,1.0883,0.8,2,2,1,2,1,0.1331,0.2182,5,7,0.4174748490945674,1
62,2.8897,0.79,2,2,1,2,1,0.1009,0.3634,2,7,0.5420543259557343,0
63,2.2326,0.8,1,2,1,2,1,0.16899999999999998,0.3196,3,7,0.7442374245472837,1
64,1.7407,0.8,1,2,1,2,1,0.1544,0.2679,5,7,0.4488712273641851,1
65,2.4645,0.99,2,2,1,2,1,0.0861,0.1784,3,1,0.39925754527162977,0
66,1.9436,0.67,1,2,1,2,1,0.1153,0.3874,4,7,0.39528973843058346,1
67,1.1986,0.8,1,2,1,2,1,0.2172,0.2222,5,7,0.3576941649899396,1
68,1.9657,0.94,2,2,1,2,1,0.0573,0.0635,5,7,0.5722676056338027,1
69,1.6395,0.8,1,2,1,2,1,0.19899999999999998,0.345,5,1,0.7335714285714285,1
70,1.1425,0.64,2,2,1,2,1,0.2596,0.3983,5,1,0.4356136820925553,1
71,0.9607,0.8,1,2,1,2,1,0.1791,0.3838,4,1,0.3727142857142857,1
72,1.0863,0.8,2,2,1,2,1,0.1774,0.3153,5,1,0.3511146881287726,1
73,2.6373,0.8,1,2,1,2,1,0.1116,0.2387,5,7,0.3735090543259557,1
74,1.3509,0.8,1,2,1,2,1,0.151,0.2971,4,1,0.35480684104627763,1
75,1.0372,0.8,1,2,1,2,1,0.1882,0.3587,5,7,0.37699195171026156,1
76,1.641,0.99,1,2,1,2,1,0.2575,0.2866,5,7,0.8065714285714285,1
77,0.8727,0.98,2,2,1,2,1,0.2486,0.3113,5,1,0.6606418511066398,1
78,1.3769,0.87,1,2,1,2,1,0.159,0.4285,4,7,0.352692152917505,1
79,1.1188,0.8,1,2,1,2,1,0.2678,0.3863,5,1,0.42149496981891343,1
80,0.9302,0.92,2,2,1,2,1,0.3348,0.3762,5,1,0.6038229376257545,1
81,1.9657,0.61,2,2,1,2,1,0.0784,0.2154,5,7,0.3645674044265593,1
82,1.6709,0.82,1,2,1,2,1,0.1695,0.2679,4,1,0.40381488933601606,1
83,0.9456,0.8,1,2,1,2,1,0.1967,0.41100000000000003,5,1,0.5266820925553319,1
84,1.4461,0.8,1,2,1,2,1,0.249,0.4656,4,1,0.4675291750503018,1
85,0.8162,0.83,2,2,1,2,1,0.1785,0.1806,5,7,0.38193762575452717,1
86,1.9874,0.53,2,2,1,2,1,0.1991,0.2638,5,7,0.6859336016096579,1
87,1.178,0.94,2,2,1,2,1,0.1722,0.1754,5,7,0.3913480885311871,1
88,1.9657,0.77,1,2,1,2,1,0.1721,0.2759,5,7,0.8101589537223339,1
89,0.8363,0.83,2,2,1,2,1,0.2465,0.2897,4,1,0.3494245472837022,1
90,1.9657,0.76,1,2,1,2,1,0.1788,0.3829,5,1,0.8121247484909456,1
91,1.6761,0.71,1,2,1,2,1,0.1554,0.3715,4,1,0.31739034205231387,1
92,2.2298,0.91,2,2,1,2,1,0.1844,0.2584,5,7,0.522132796780684,1
93,2.4659999999999997,0.83,2,2,1,2,1,0.149,0.2731,5,7,0.3959154929577465,1
94,1.0995,0.8,1,2,1,2,1,0.2758,0.3128,5,1,0.49626961770623734,1
95,1.2633,0.76,2,2,1,2,1,0.1953,0.4006,4,1,0.39678068410462775,1
96,1.2057,0.79,2,2,1,2,1,0.1831,0.2967,4,1,0.38323943661971827,1
97,1.9657,0.76,2,2,1,2,1,0.13,0.2623,4,7,0.5120724346076458,1
98,1.4994,0.75,2,2,1,2,1,0.3059,0.4502,5,7,0.5384808853118712,1
99,2.9899,0.63,2,2,1,2,1,0.2067,0.2498,5,7,0.5896478873239436,1
100,1.0541,0.67,2,2,1,2,1,0.1191,0.1705,5,7,0.22216096579476857,1
101,2.6314,0.88,2,2,1,2,1,0.0914,0.2843,5,1,0.3494587525150905,1
102,2.6652,0.92,2,2,1,2,1,0.1842,0.2426,5,7,0.6611187122736418,1
103,1.6192,0.72,2,2,1,2,1,0.172,0.3044,5,1,0.25907645875251506,1
104,0.8695,0.8,1,2,1,2,1,0.1391,0.2937,4,11,0.03722334004024144,1
105,2.6565,0.8,2,2,1,2,1,0.0706,0.1343,5,1,0.2612917505030181,1
106,1.0644,0.67,2,2,1,2,1,0.1331,0.2979,4,1,0.18309859154929575,1
107,1.5334,0.67,2,2,1,2,1,0.1895,0.2028,5,7,0.25251509054325955,1
108,2.1266,0.98,2,2,1,2,1,0.1471,0.149,5,1,0.2743440643863179,1
109,1.9657,0.74,2,2,1,2,1,0.1872,0.3581,5,1,0.48390342052313884,1
110,1.4854,0.73,2,2,1,2,1,0.1515,0.18899999999999997,5,1,0.45380281690140845,1
111,1.4845,0.55,2,2,1,2,1,0.2885,0.4505,5,7,0.25855130784708247,1
112,1.6872,0.63,2,2,1,2,1,0.1756,0.3543,4,1,0.3209255533199195,1
113,1.2148,0.67,2,2,1,2,1,0.1213,0.1264,5,7,0.2472696177062374,1
114,1.383,0.67,2,2,1,2,1,0.1819,0.253,5,1,0.2664647887323944,1
115,1.6819,0.87,2,2,1,2,1,0.203,0.4573,4,1,0.3557887323943662,1
116,1.9697,0.67,2,2,1,2,1,0.0708,0.3357,4,1,0.09676861167002011,1
117,0.8286,0.63,2,2,1,2,1,0.185,0.1977,5,1,0.16916096579476858,1
118,1.3926,0.8,1,2,1,2,1,0.2415,0.3662,3,11,0.5719698189134809,1
119,1.9821,0.77,2,2,1,2,1,0.1337,0.35700000000000004,3,1,0.4067665995975855,0
120,1.0506,0.84,1,2,1,2,1,0.2833,0.406,5,7,0.4810784708249497,1
121,1.2327,0.8,1,2,1,2,1,0.1125,0.1676,4,7,0.18114688128772632,1
122,2.2725,0.8,1,2,1,2,1,0.1414,0.3304,5,7,0.6297565392354124,1
123,1.197,0.8,1,2,1,2,1,0.2073,0.4338,5,1,0.4557525150905432,1
124,0.5989,0.83,1,2,1,2,1,0.177,0.2452,5,1,0.11547484909456739,1
125,0.8945,0.8,1,2,1,2,1,0.2217,0.33,5,1,0.31433400402414485,1
126,0.7377,0.8,1,2,1,2,1,0.2105,0.3142,5,1,0.3088531187122736,1
127,1.6257,0.9,2,2,1,2,1,0.157,0.3124,4,1,0.4788350100603621,1
128,1.9657,0.8,1,2,1,2,1,0.0536,0.3128,5,7,0.2424949698189135,1
129,2.4525,0.8,1,2,1,2,1,0.2092,0.3008,5,7,0.8006579476861166,1
130,1.7687,0.85,2,2,1,2,1,0.1227,0.2411,5,7,0.40876056338028166,1
131,1.3402,0.8,1,2,1,2,1,0.2721,0.3621,5,1,0.7716297786720321,1
132,1.9657,0.8,1,2,1,2,1,0.0897,0.1631,5,1,0.4798792756539235,1
133,2.0318,0.8,1,2,1,2,1,0.2269,0.4381,4,1,0.7261830985915493,1
134,1.0623,0.8,1,2,1,2,1,0.2894,0.3879,4,11,0.6847987927565392,1
135,3.1833,0.54,2,2,1,2,1,0.1057,0.38299999999999995,4,7,0.1741428571428571,1
136,1.4549,0.78,2,2,1,2,1,0.2944,0.4676,4,1,0.6739517102615694,1
137,2.3336,0.8,1,2,1,2,1,0.1323,0.3518,5,7,0.38946076458752515,1
138,1.4733,0.8,1,2,1,2,1,0.2026,0.3316,5,1,0.5475412474849094,1
139,1.5236,0.75,2,2,1,2,1,0.1939,0.4985,4,1,0.37686116700201205,1
140,0.7288,0.89,2,2,1,2,1,0.1707,0.3889,5,1,0.22795774647887324,1
141,1.9997,0.65,2,2,1,2,1,0.0605,0.3202,3,1,0.16367605633802818,0
142,3.397,0.74,1,2,1,2,1,0.0744,0.1083,5,1,0.30832997987927563,1
143,1.1905,0.91,2,2,1,2,1,0.1138,0.1811,3,1,0.2972696177062374,0
144,1.2875,0.86,2,2,1,2,1,0.1372,0.2224,5,1,0.5697565392354125,1
145,1.4142,0.8,1,2,1,2,1,0.1209,0.3569,4,11,0.25696780684104625,1
146,1.34,0.8,1,2,1,2,1,0.1511,0.2584,5,1,0.4458229376257545,1
147,0.8858,0.63,2,2,1,2,1,0.2263,0.324,2,7,0.47786720321931586,0
148,1.9816,0.97,2,2,1,2,1,0.1178,0.2028,4,7,0.6826961770623742,1
149,1.1521,0.8,1,2,1,2,1,0.2994,0.3934,4,1,0.6512736418511066,1
150,1.995,0.92,1,2,1,2,1,0.2227,0.3536,5,1,0.6408450704225351,1
151,2.6234,0.8,1,2,1,2,1,0.1529,0.3671,4,1,0.5352977867203219,1
152,1.5391,0.84,2,2,1,2,1,0.0874,0.1559,5,7,0.2695291750503018,1
153,1.492,0.84,1,2,1,2,1,0.2441,0.461,5,7,0.8145171026156941,1
154,1.4445,0.67,2,2,1,2,1,0.1215,0.1288,5,7,0.4396378269617706,1
155,0.6504,0.8,1,2,1,2,1,0.3083,0.4136,5,1,0.35834004024144867,1
156,0.6927,0.94,2,2,1,2,1,0.1885,0.1923,5,7,0.3599979879275654,1
157,1.4639,0.84,2,2,1,2,1,0.1314,0.2814,5,7,0.32365392354124745,1
158,2.6519,0.52,2,2,1,2,1,0.1346,0.2286,5,1,0.42354124748490946,1
159,1.0373,0.8,2,2,1,2,1,0.2445,0.3791,5,7,0.34177665995975853,1
